equipo,pts_total,pj_total,pg_total,pe_total,pp_total,gf_total,gc_total,pts_local,pj_local,pg_local,pe_local,pp_local,gf_local,gc_local,pts_visitante,pj_visitante,pg_visitante,pe_visitante,pp_visitante,gf_visitante,gc_visitante,promedio_goles,promedio_goles_local,promedio_goles_visitante,promedio_ganados,promedio_empatados,promedio_perdidos
M. City,91,38,28,7,3,96,34,47,19,14,5,0,51,16,44,19,14,2,3,45,18,2.526,2.684,2.368,0.737,0.184,0.079
Arsenal,89,38,28,5,5,91,29,47,19,15,2,2,48,16,42,19,13,3,3,43,13,2.395,2.526,2.263,0.737,0.132,0.132
Liverpool,82,38,24,10,4,86,41,48,19,15,3,1,49,17,34,19,9,7,3,37,24,2.263,2.579,1.947,0.632,0.263,0.105
Aston Villa,68,38,20,8,10,76,61,40,19,12,4,3,48,28,28,19,8,4,7,28,33,2.0,2.526,1.474,0.526,0.211,0.263
Tottenham,66,38,20,6,12,74,61,39,19,13,0,6,38,27,27,19,7,6,6,36,34,1.947,2.0,1.895,0.526,0.158,0.316
Chelsea,63,38,18,9,11,77,63,37,19,11,4,4,44,26,26,19,7,5,7,33,37,2.026,2.316,1.737,0.474,0.237,0.289
Newcastle,60,38,18,6,14,85,62,40,19,12,4,3,49,22,20,19,6,2,11,36,40,2.237,2.579,1.895,0.474,0.158,0.368
M. United,60,38,18,6,14,57,58,33,19,10,3,6,31,28,27,19,8,3,8,26,30,1.5,1.632,1.368,0.474,0.158,0.368
West Ham,52,38,14,10,14,60,74,29,19,7,8,4,31,28,23,19,7,2,10,29,46,1.579,1.632,1.526,0.368,0.263,0.368
Crystal Palace,49,38,13,10,15,57,58,28,19,8,4,7,37,26,21,19,5,6,8,20,32,1.5,1.947,1.053,0.342,0.263,0.395
Brighton,48,38,12,12,14,55,62,30,19,8,6,5,30,27,18,19,4,6,9,25,35,1.447,1.579,1.316,0.316,0.316,0.368
Bournemouth,48,38,13,9,16,54,67,27,19,7,6,6,27,28,21,19,6,3,10,27,39,1.421,1.421,1.421,0.342,0.237,0.421
Fulham,47,38,13,8,17,55,61,29,19,9,2,8,31,24,18,19,4,6,9,24,37,1.447,1.632,1.263,0.342,0.211,0.447
Wolves,46,38,13,7,18,50,65,27,19,8,3,8,26,30,19,19,5,4,10,24,35,1.316,1.368,1.263,0.342,0.184,0.474
Everton,40,38,13,9,16,40,51,28,19,8,4,7,22,18,20,19,5,5,9,18,33,1.053,1.158,0.947,0.342,0.237,0.421
Brentford,39,38,10,9,19,56,65,22,19,5,7,7,29,34,17,19,5,2,12,27,31,1.474,1.526,1.421,0.263,0.237,0.5
Nottingham Forest,32,38,9,9,20,49,67,20,19,5,5,9,27,30,16,19,4,4,11,22,37,1.289,1.421,1.158,0.237,0.237,0.526
Luton Town,26,38,6,8,24,52,85,16,19,4,4,11,28,37,10,19,2,4,13,24,48,1.368,1.474,1.263,0.158,0.211,0.632
Burnley,24,38,5,9,24,41,78,10,19,2,4,13,19,43,14,19,3,5,11,22,35,1.079,1.0,1.158,0.132,0.237,0.632
Sheffield Utd,16,38,3,7,28,35,104,10,19,2,4,13,19,57,6,19,1,3,15,16,47,0.921,1.0,0.842,0.079,0.184,0.737
